section,p,distance_units,weighted_sum,weighted_mean
f1 spiral,1.0,313619.37,0.0064960932981674,0.5093246026462411
f1 spiral,1.0,340701.543,0.005979721851237203,0.5093246426218988
f1 spiral,1.0,370122.361,0.005504396620743056,0.5093246755306607
f1 spiral,1.0,402083.773,0.005066854835396982,0.5093247025283757
f1 spiral,1.0,436805.17,0.004664093086451676,0.5093247245882359
f1 spiral,1.0,474524.885,0.00429334670965556,0.5093247425291733
f1 spiral,1.0,515501.835,0.003952070806445076,0.5093247570398757
f1 spiral,1.0,560017.294,0.0036379227740019017,0.5093247686990959
f1 spiral,1.0,608376.825,0.0033487462241812978,0.5093247779928252
f1 spiral,1.0,660912.377,0.0030825561808682954,0.5093247853288106
f1 spiral,1.0,717984.565,0.002837525454106755,0.5093247910488282
f1 spiral,1.0,779985.144,0.0026119720974341204,0.509324795439053
f1 spiral,1.0,847339.699,0.0024043478622982365,0.5093247987388233
f1 spiral,1.0,920510.564,0.002213227570282741,0.5093248011480435
f1 spiral,1.0,1000000.0,0.002037299330172566,0.5093248028334357
f1 spiral,1.5,10.0,0.23891800266376717,0.9705169632072486
f1 spiral,1.5,10.864,0.2389574157449595,0.9702827879749255
f1 spiral,1.5,11.802,0.23900037674131852,0.9700255342450946
f1 spiral,1.5,12.821,0.23904721889684957,0.9697426882050069
f1 spiral,1.5,13.928,0.23909830932496934,0.9694314233017496
f1 spiral,1.5,15.131,0.23915405292745084,0.9690885554663972
f1 spiral,1.5,16.437,0.23921489685487887,0.9687104911102775
f1 spiral,1.5,17.857,0.23928133559971246,0.9682931666147409
f1 spiral,1.5,19.399,0.23935391683151272,0.9678319777921442
f1 spiral,1.5,21.074,0.23943324810677608,0.9673216975020187
f1 spiral,1.5,22.894,0.23952000461435458,0.9667563792513273
f1 spiral,1.5,24.87,0.23961493815327478,0.9661292441772507
f1 spiral,1.5,27.018,0.23971888758506302,0.9654325482872984
f1 spiral,1.5,29.351,0.23983279106036315,0.9646574261922585
f1 spiral,1.5,31.886,0.23995770039365405,0.9637937067838552
f1 spiral,1.5,34.639,0.24009479805564393,0.9628296953441202
f1 spiral,1.5,37.63,0.2402454173779075,0.9617519153795812
f1 spiral,1.5,40.88,0.2404110667289456,0.9605448019880024
f1 spiral,1.5,44.41,0.24059345863975828,0.9591903367061542
f1 spiral,1.5,48.245,0.2407945451511248,0.9576676114441518
f1 spiral,1.5,52.411,0.2410165610542095,0.9559523061373625
f1 spiral,1.5,56.937,0.24126207724484905,0.9540160609391392
f1 spiral,1.5,61.854,0.24153406717502124,0.9518257188584643
f1 spiral,1.5,67.195,0.24183599046028395,0.9493424083267761
f1 spiral,1.5,72.998,0.24217189923845855,0.9465204267054189
f1 spiral,1.5,79.301,0.2425465751037088,0.9433058744229854
f1 spiral,1.5,86.149,0.24296570772668238,0.9396349740926973
f1 spiral,1.5,93.589,0.2434361312043148,0.9354319878604975
f1 spiral,1.5,101.67,0.24396614173244263,0.9306066167189131
f1 spiral,1.5,110.45,0.24456593199867055,0.9250507234558639
f1 spiral,1.5,119.988,0.24524819659326288,0.9186341597002211
f1 spiral,1.5,130.349,0.24602899381049892,0.9111993863873914
f1 spiral,1.5,141.605,0.2469290018490827,0.902554437709283
